Reading training examples... (1000 examples) done
Training set properties: 51 features, 20 classes
Iter 177: *(NumConst=105, SV=63, CEps=42.3597, QPEps=11.2200)
Iter 178: *(NumConst=106, SV=58, CEps=46.1361, QPEps=11.4230)
Iter 179: *(NumConst=106, SV=60, CEps=42.3370, QPEps=11.4635)
Iter 180: *(NumConst=104, SV=55, CEps=55.1514, QPEps=10.8368)
Iter 181: *(NumConst=105, SV=55, CEps=33.3206, QPEps=11.7605)
Iter 182: *(NumConst=104, SV=54, CEps=43.4845, QPEps=11.1490)
Iter 183: *(NumConst=104, SV=57, CEps=39.0196, QPEps=11.4359)
Iter 184: *(NumConst=105, SV=58, CEps=36.7567, QPEps=11.0198)
Iter 185: *(NumConst=105, SV=57, CEps=40.2981, QPEps=11.4555)
Iter 186: *(NumConst=106, SV=55, CEps=34.8765, QPEps=11.7066)
Iter 187: *(NumConst=106, SV=55, CEps=33.5667, QPEps=11.6898)
Iter 188: *(NumConst=106, SV=54, CEps=31.3742, QPEps=11.6570)
Iter 189: *(NumConst=107, SV=52, CEps=34.1637, QPEps=11.8297)
Iter 190: *(NumConst=107, SV=56, CEps=33.7565, QPEps=11.3413)
Iter 191: *(NumConst=105, SV=55, CEps=25.1846, QPEps=11.5279)
Iter 192: *(NumConst=105, SV=56, CEps=21.4193, QPEps=10.5995)
Iter 193: *(NumConst=106, SV=57, CEps=24.9288, QPEps=10.2030)
Iter 194: *(NumConst=107, SV=56, CEps=29.5842, QPEps=9.4736)
Iter 195: *(NumConst=107, SV=56, CEps=29.0494, QPEps=9.5085)
Iter 196: *(NumConst=108, SV=56, CEps=27.2144, QPEps=10.6984)
Iter 197: *(NumConst=109, SV=56, CEps=22.7071, QPEps=9.4590)
Iter 198: *(NumConst=108, SV=56, CEps=18.6749, QPEps=9.2483)
Iter 199: *(NumConst=109, SV=54, CEps=19.8442, QPEps=9.3318)
Iter 200: *(NumConst=110, SV=57, CEps=24.4742, QPEps=8.4057)
Iter 201: *(NumConst=111, SV=57, CEps=22.6117, QPEps=9.1096)
Iter 202: *(NumConst=112, SV=57, CEps=15.6658, QPEps=7.5702)
Iter 203: *(NumConst=112, SV=59, CEps=18.1753, QPEps=7.6641)
Iter 204: *(NumConst=113, SV=57, CEps=17.4198, QPEps=7.0096)
Iter 205: *(NumConst=114, SV=59, CEps=15.7232, QPEps=7.6231)
Iter 206: *(NumConst=115, SV=59, CEps=16.8460, QPEps=7.7241)
Iter 207: *(NumConst=116, SV=59, CEps=11.3657, QPEps=5.5862)
Iter 208: *(NumConst=116, SV=61, CEps=17.1620, QPEps=5.0467)
Iter 209: *(NumConst=117, SV=61, CEps=17.1139, QPEps=5.3641)
Iter 210: *(NumConst=116, SV=63, CEps=16.5212, QPEps=5.3363)
Iter 211: *(NumConst=117, SV=62, CEps=20.8692, QPEps=5.5808)
Iter 212: *(NumConst=117, SV=66, CEps=14.9071, QPEps=5.5839)
Iter 213: *(NumConst=116, SV=64, CEps=14.5228, QPEps=5.6504)
Iter 214: *(NumConst=116, SV=64, CEps=15.5728, QPEps=5.4612)
Iter 215: *(NumConst=116, SV=65, CEps=14.8498, QPEps=5.6089)
Iter 216: *(NumConst=117, SV=65, CEps=13.7224, QPEps=5.5293)
Iter 217: *(NumConst=118, SV=64, CEps=13.3486, QPEps=5.6115)
Iter 218: *(NumConst=119, SV=64, CEps=12.6062, QPEps=5.5202)
Iter 219: *(NumConst=119, SV=65, CEps=14.7465, QPEps=5.1902)
Iter 220: *(NumConst=120, SV=65, CEps=13.2298, QPEps=5.5543)
Iter 221: *(NumConst=121, SV=67, CEps=13.2187, QPEps=5.6803)
